i,b,g,u,e,p,f,d,c,n
388935,FARMHOUSE,740500962209,g,358.0,14.93,2.24,3.0,71.64,100% DURUM WHEAT SEMOLINA PASTA
388936,H E Butt Grocery Company,041220824304,g,370.0,7.41,5.56,3.7,70.37,MASHED POTATOES
388937,Rienzi & Sons Inc.,075717320802,g,333.0,11.67,1.67,3.3,70.0,PENNE DI RIGATINO 68
388938,H E Butt Grocery Company,041220329496,g,351.0,12.28,1.75,10.5,73.68,"H-E-B, TEXAS STYLE RICE & BEANS"
388939,H E Butt Grocery Company,041220103553,g,357.0,12.86,2.14,1.4,70.0,SPIRALS MACARONI & CHEESE
388940,H E Butt Grocery Company,041220976607,g,400.0,6.67,15.0,6.7,63.33,THIN WHEAT CRACKERS
388941,FARMHOUSE,740500963008,g,368.0,14.04,2.63,3.5,71.93,ANGEL HAIR PASTA
388942,FARMHOUSE,740500962100,g,357.0,14.29,2.86,2.9,68.57,FETTUCCINE ALFREDO PASTA
388943,H E Butt Grocery Company,041220824298,g,370.0,7.41,5.56,3.7,70.37,FOUR CHEESE MASHED POTATOES
388944,FARMHOUSE,740500962704,g,371.0,14.29,4.29,2.9,68.57,100% DURUM WHEAT SEMOLINA PASTA
388945,SANLAKOL LTD.,787176000040,g,47.0,1.77,0.77,1.9,8.46,CRUSHED TOMATOES WITH ONION
388946,H E Butt Grocery Company,041220040605,g,357.0,7.14,3.57,3.6,75.0,SCALLOPED POTATOES
388947,H E Butt Grocery Company,041220277674,g,357.0,10.71,1.79,3.6,75.0,CORN BREAD STUFFING MIX
388948,SANLAKOL LTD.,787176000033,g,100.0,2.0,2.0,2.0,15.0,CRUSHED TOMATOES WITH GARLIC
388949,Target Stores,085239981771,g,371.0,8.57,4.29,8.6,77.14,APPLES & CINNAMON INSTANT OATMEAL
388950,Target Stores,085239981856,g,375.0,12.5,6.25,10.0,67.5,100% WHOLE GRAIN QUICK OATS
388951,Target Stores,085239142776,g,423.0,9.62,11.54,7.7,69.23,MULTIGRAIN OATMEAL
388952,Target Stores,085239981825,g,375.0,12.5,6.25,10.0,67.5,OLD FASHIONED OATS
388953,Target Stores,085239948729,g,372.0,9.3,4.65,7.0,74.42,INSTANT OATMEAL
388954,Target Stores,085239948736,g,353.0,11.76,5.88,8.8,70.59,INSTANT OATMEAL
388955,Target Stores,085239142752,g,423.0,9.62,9.62,9.6,69.23,"MAPLE BROWN SUGAR WITH ALMONDS, MULTIGRAIN OATMEAL"
388956,Target Stores,085239142738,g,375.0,10.42,4.17,8.3,77.08,CHAI SPICE MULTIGRAIN OATMEAL
388957,Target Stores,085239929513,g,371.0,8.57,5.71,5.7,77.14,INSTANT OATMEAL
388958,Del Monte Foods Inc.,024000051992,g,62.0,0.0,0.0,0.8,15.62,"DEL MONTE, MIXED FRUIT IN GEL, CHERRY"
388961,"Knouse Foods, Inc/musselman Dv",037323114411,g,80.0,0.0,0.0,1.8,20.35,APPLE SAUCE
388963,"Schnuck Markets, Inc.",041318010473,g,60.0,0.67,0.0,0.7,14.0,MANDARIN ORANGES IN LIGHT SYRUP
388964,"Topco Associates, Inc.",036800432116,g,250.0,0.0,0.0,1.2,65.0,PEACH PRESERVES
388965,"Topco Associates, Inc.",036800800557,g,200.0,0.0,0.0,0.0,55.0,STRAWBERRY PRESERVES
388967,"Topco Associates, Inc.",036800328136,g,250.0,0.0,0.0,0.0,60.0,CONCORD GRAPE JELLY
388968,Dole Packaged Foods Company,038900042714,g,35.0,0.88,0.0,0.9,8.85,MANDARIN ORANGES
388969,Del Monte Foods Inc.,024000051985,g,39.0,0.0,0.0,0.8,9.38,MANDARIN ORANGES
388970,Milky Way Int'L Trading Corp,074027064871,g,57.0,0.0,0.0,0.7,14.29,FUJI APPLES IN LIGHT SYRUP
388971,"Schnuck Markets, Inc.",041318011043,g,71.0,0.0,0.0,0.9,16.81,MIXED FRUIT
388972,"Topco Associates, Inc.",036800402195,g,250.0,0.0,0.0,0.0,70.0,ORANGE MARMALADE
388973,"Schnuck Markets, Inc.",041318010060,g,62.0,0.0,0.0,0.9,15.04,MANDARIN ORANGE WHOLE SEGMENT MANDARIN ORANGES IN LIGHT SYRUP
388974,Del Monte Foods Inc.,024000035596,g,62.0,0.0,0.0,0.9,15.04,TOPICAL FRUIT PAPAYA & PINEAPPLE IN LIGHTLY SWEETENED JUICE
388975,"Schnuck Markets, Inc.",041318010343,g,57.0,0.82,0.0,0.8,13.93,CRUSHED PINEAPPLE IN UNSWEETENED PINEAPPLE JUICE
388976,Del Monte Foods Inc.,024000522539,g,53.0,0.0,0.0,0.9,13.27,"DEL MONTE, DICED APPLES & PEARS IN EXTRA LIGHT SYRUP, CARAMEL"
388977,"Safeway, Inc.",021130043606,g,226.0,6.45,22.58,0.0,6.45,CREAM CHEESE SPREAD
388978,The Napoleon Co.,041253375002,g,36.0,0.0,0.0,0.0,7.14,"NAPOLEON, FIRE ROASTED SLICED RED PEPPERS"
388981,Stonewall Kitchen Ltd.,711381002346,g,167.0,0.0,0.0,0.0,46.67,APPLE CRANBERRY CHUTNEY
388982,"Safeway, Inc.",021130046881,g,250.0,7.14,21.43,0.0,7.14,NEUFCHATEL CHEESE
388983,ORGANICS,079893401324,g,80.0,12.39,2.21,0.0,3.54,LOWFAT COTTAGE CHEESE
388985,"Safeway, Inc.",021130043613,g,238.0,4.76,21.43,0.0,9.52,WHIPPED CREAM CHEESE SPREAD
388986,Challenge Dairy Products Inc.,047200137501,g,357.0,7.14,32.14,0.0,7.14,CREAM CHEESE
388987,"Safeway, Inc.",021130047338,g,393.0,28.57,28.57,3.6,3.57,SHREDDED PARMESAN CHEESE
388988,"Food Match, Inc.",631723200813,g,17.0,0.0,0.0,0.0,3.33,SLICED PEPPERONCINI
389007,"Seattle Gourmet Foods, Inc.",715855122271,g,237.0,0.0,0.0,0.0,63.16,PEACH HABANERO JELLY
389009,DAIYA,871459001074,g,267.0,3.33,23.33,0.0,13.33,CREAM CHEEZE STYLE SPREAD
389010,The Napoleon Co.,041253000669,g,275.0,0.0,0.0,0.0,62.5,MANGO CHUTNEY
389011,Lynnae's Gourmet Pickles,856757003005,g,93.0,0.0,0.0,0.9,21.43,ORIGINAL SPEARS SWEET AND SOUR DILL
389012,"Riba Foods, Inc.",033907133281,g,133.0,0.0,0.0,0.0,40.0,CANDY-KRISP JALAPENOS
389014,Glencourt Inc.,079893405957,g,714.0,0.0,85.71,0.0,0.0,SWEET CREAM BUTTER
389015,Alcam Creamery Co. Inc.,604695000033,g,714.0,0.0,78.57,0.0,0.0,ROLL BUTTER SALTED
389016,CONSERVAS PEDRO LUIS,832924005508,g,40.0,2.0,0.0,2.0,8.0,ORGANIC PIQUILLO PEPPERS
389017,Glencourt Inc.,079893405964,g,714.0,0.0,85.71,0.0,0.0,ORGANIC SWEET CREAM BUTTER
389018,DAIYA,871459001098,g,233.0,3.33,16.67,0.0,13.33,CREAM CHEEZE STYLE SPREAD
389019,Victoria Fine Foods LLC,070234000541,g,50.0,0.0,0.0,0.0,10.0,ROASTED RED PEPPERS
389022,"Food Match, Inc.",631723202763,g,133.0,0.0,13.33,0.0,6.67,OLIVES STUFFED WITH GARLIC
389023,"Safeway, Inc.",021130043545,g,238.0,4.76,21.43,0.0,9.52,WHIPPED CREAM CHEESE SPREAD
389028,HAIL MERRY,897053001012,g,440.0,8.0,32.0,12.0,44.0,DARK CHOCOLATE BITES
389029,"Metzger Specialty Brands, Inc.",898655000120,g,25.0,2.5,0.0,2.5,5.0,CRISPY WHITE ASPARAGUS
389030,Wildly Delicious Preserve Co. Ltd.,621787033939,g,200.0,0.67,6.67,0.0,33.33,CARAMELIZED ONION & BALSAMIC
389031,Edward Benneche Inc,072538000159,g,219.0,0.0,0.0,0.0,56.25,MANGO CHUTNEY
389032,"Sorrento Cheese Co., Inc.",074030102157,g,81.0,9.68,3.23,1.6,6.45,RICOTTA CHEESE
389033,"Safeway, Inc.",021130043552,g,250.0,5.0,17.5,0.0,25.0,WHIPPED CREAM CHEESE SPREAD
389035,"Food Match, Inc.",631723201308,g,33.0,0.0,0.0,3.3,3.33,ROASTED YELLOW PEPPERS
389036,"Safeway, Inc.",021130073108,g,200.0,3.33,16.67,0.0,6.67,SOUR CREAM
389037,HAIL MERRY LLC.,897053001029,g,520.0,8.0,40.0,8.0,36.0,"HAIL MERRY, GLUTEN-FREE VEGAN MACAROONS, BLONDE"
389038,"Food Match, Inc.",631723202787,g,167.0,0.0,20.0,6.7,6.67,OLIVES STUFFED WITH SWEET PEPPERS
389039,"Safeway, Inc.",021130043798,g,226.0,6.45,22.58,0.0,6.45,CREAM CHEESE SPREAD
389040,Wildly Delicious Preserve Co. Ltd.,621787033946,g,233.0,0.67,3.33,0.0,46.67,"WILDLY, CRANBERRY, PORT & PECAN COMPOTE"
389041,"Boat Street Pickles, LLC",896919002019,g,167.0,0.0,0.0,3.3,46.67,PICKLES
389042,ROSEBUD FARM,679385000501,g,253.0,0.0,0.0,6.7,66.67,SEVILLE ORANGE & WHISKY MARMALADE
389043,"Safeway, Inc.",021130073115,g,97.0,7.96,1.77,0.0,11.5,LOWFAT COTTAGE CHEESE WITH PINEAPPLE
389044,"Safeway, Inc.",021130043682,g,258.0,3.23,25.81,0.0,3.23,CREAM CHEESE SPREAD WITH CHIVE & ONION
389046,"Safeway, Inc.",021130073696,g,200.0,3.33,16.67,0.0,6.67,SOUR CREAM
389047,"Seattle Gourmet Foods, Inc.",715855128389,g,237.0,0.0,0.0,0.0,63.16,JALAPENO PEPPER JELLY
389048,"Safeway, Inc.",021130073009,g,200.0,3.33,16.67,0.0,6.67,SOUR CREAM
389049,Earth Island,049568540085,g,323.0,6.45,29.03,6.5,9.68,CREAM CHEESE
389050,Old Home Foods Inc,070322005342,g,594.0,25.0,50.0,9.4,21.88,100% ALL NATURAL SPREAD
389051,"Safeway, Inc.",021130043699,g,290.0,3.23,22.58,0.0,16.13,CREAM CHEESE SPREAD
389052,Stonewall Kitchen Ltd.,711381022269,g,267.0,0.0,0.0,0.0,66.67,HOT PEPPER JELLY
389053,Wildly Delicious Preserve Co. Ltd.,621787033953,g,167.0,1.33,6.67,0.0,26.67,COMPOTE FOR CHEDDAR CHEESE
