fdc_id,description,energy_kcal,protein_g,fat_g,carbohydrate_g,caffeine_mg,sugars_g,vitamin_A_ug,thiamin_mg,riboflavin_mg,niacin_mg,pantothenic_acid_mg,vitamin_B6_mg,vitamin_B12_ug,biotin_ug,vitamin_C_mg,choline_mg,vitamin_D_ug,vitamin_E_mg,folic_acid_ug,vitamin_K_ug,calcium_mg,chromium_ug,copper_mg,fluoride_ug,iodine_ug,iron_mg,magnesium_mg,manganese_mg,molybdenum_ug,phosphorus_mg,potassium_mg,selenium_ug,sodium_mg,sulfur_mg,zinc_mg
333374,"Fish, haddock, raw",74.0,16.3,0.45,0.0,,,,0.02,0.057,3.36,0.40299999999999997,0.281,1.83,,,,0.5,0.45,,,11.0,,0.021,,,0.17,21.1,0.011000000000000001,,227.0,286.0,25.9,213.0,,0.32
329490,"Egg, whole, dried",575.0,48.1,39.8,1.87,,,,,,,,,,,,,9.7,,,,220.0,,0.0,,274.0,6.97,44.6,0.0,,770.0,468.0,,485.0,,5.02
329596,"Egg, yolk, raw, frozen, pasteurized",296.0,15.6,25.1,0.59,,,,,,,,,,,,,5.8,,,,119.0,,0.0,,177.0,4.13,11.2,0.068,,443.0,102.0,,66.0,,2.93
329716,"Egg, yolk, dried",654.0,34.2,55.5,1.07,,,,,,,,,,,,,15.7,,,,270.0,,0.0,,349.0,9.28,26.0,0.0,,982.0,231.0,,149.0,,7.11
330137,"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)",61.0,10.3,0.37,3.64,,3.27,1.0,0.022000000000000002,0.281,0.21100000000000002,0.332,0.064,0.7,,,15.1,0.0,0.01,,0.0,111.0,,0.017,,,0.07,10.7,0.009000000000000001,,136.0,141.0,9.9,36.0,,0.53
330415,"Yogurt, Greek, strawberry, nonfat",83.0,8.06,0.15,12.2,,11.5,0.0,,0.25,0.20800000000000002,0.363,0.05,0.45,,0.2,,1.0,,,,97.0,,0.02,,,0.09,10.4,0.034,,113.0,133.0,9.8,32.0,,0.46
330458,"Oil, coconut",833.0,0.0,99.1,0.84,,,,,,,,,,,,,,0.11,,0.6,1.0,,0.0,,,0.05,0.0,0.0,,0.0,0.0,,0.0,,0.02
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",156.0,23.9,5.95,0.0,,,7.0,0.08800000000000001,0.18,5.05,1.1,0.37200000000000005,0.41,,,,0.1,0.17,,,12.0,,0.063,,,0.94,22.4,0.018000000000000002,,184.0,239.0,27.9,117.0,,2.54
333281,"Tomatoes, canned, red, ripe, diced",18.0,0.84,0.5,3.32,,2.99,,,,,,,,,,,,,,,30.0,,0.052000000000000005,,,0.57,9.8,0.068,,18.0,198.0,,125.0,,0.12
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",166.0,32.1,3.24,0.0,,,,0.098,0.187,9.45,1.58,0.9209999999999999,0.2,,,,,0.33,,,6.0,,0.044000000000000004,,,0.49,32.0,0.012,,241.0,343.0,31.9,47.0,,0.96
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve",45.0,1.41,1.48,8.05,,5.5,32.0,,,,,,,,,,,,,,27.0,,0.081,,,0.78,18.5,0.13699999999999998,,34.0,319.0,,419.0,,0.2
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",106.0,16.7,3.73,0.27,,,,,,,,,,,,,,,,,5.0,,0.05,,,0.58,18.8,0.0,,261.0,425.0,,1040.0,,1.52
332791,"Olives, green, Manzanilla, stuffed with pimiento",130.0,1.15,12.9,4.96,,0.0,25.0,0.040999999999999995,0.0,0.10300000000000001,0.0,0.0,,,0.0,1.6,,3.78,,16.6,121.0,,0.107,,,0.31,12.4,0.047,,7.0,43.0,,1620.0,,0.09
333008,"Cookies, oatmeal, soft, with raisins",430.0,5.79,14.3,69.6,,34.8,,0.295,0.218,2.11,0.4,0.07,,,,,,2.69,,17.1,29.0,,0.141,,,2.28,32.4,0.755,,111.0,245.0,6.0,314.0,,0.62
