b,g,e,p,f,d,c,n
Alpina Productos Alimenticios,083322015471,101.0,3.36,1.01,0.7,18.79,"ALPINA, BON YURT, LOW FAT YOGURT AND COCOA RICE CRUNCH, VANILLA"
Alpina Productos Alimenticios,083322015488,114.0,3.8,2.22,1.3,20.89,"ALPINA, BON YURT, SANDWICHES COOKIES, COOKIES & CREAM"
ROUNDY'S,011150084055,55.0,1.57,1.18,1.6,9.45,GARDEN COMBO SAUCE
ROUNDY'S,011150084079,55.0,1.56,1.17,2.3,10.16,"ROUNDY'S, HOMESTYLE PASTA SAUCE, MUSHROOM"
ROUNDY'S,011150084048,63.0,1.59,1.19,2.4,11.11,THREE CHEESE SAUCE
ROUNDY'S,011150084031,62.0,1.56,1.95,2.3,9.38,TOMATO BASIL & GARLIC SAUCE
THE SAUCE KING,852934001017,50.0,1.68,0.0,1.7,10.08,GREAT ON PASTA OR PIZZA!
LUCINI ITALIA,648505507237,28.0,0.8,1.2,0.8,4.8,ORGANIC SAUCE
"Paradise Eximport, Inc.",794504180824,88.0,3.2,4.8,1.6,8.0,"MAMA JEN'S, GOURMET ITALIAN STYLE SPAGHETTI SAUCE WITH BEEF"
TERLATO KITCHEN,748252561749,80.0,0.8,5.6,1.6,4.8,VODKA SAUCE
Barilla G & R F.Lli S.P.A.,076808000726,357.0,12.5,1.79,3.6,75.0,"BARILLA, STELLINE, ENRICHED MACARONI PRODUCT"
Barilla G & R F.Lli S.P.A.,076808280838,357.0,12.5,1.79,3.6,75.0,"BARILLA, MEZZI RIGATONI"
Barilla G & R F.Lli S.P.A.,076808502954,357.0,12.5,1.79,3.6,75.0,"MEZZE PENNE, ENRICHED MACARONI PRODUCT"
Barilla G & R F.Lli S.P.A.,076808523201,357.0,12.5,1.79,3.6,75.0,ELBOWS
Quinoa Corporation,089125318009,388.0,11.76,5.88,6.5,67.65,ANCIENT QUINOA HARVEST QUINOA GLUTEN FREE
"The Hain Celestial Group, Inc.",015839000060,536.0,10.71,28.57,7.1,57.14,"GARDEN OF EATIN', CORN TORTILLA CHIPS, SESAME BLUES"
Good Health Natural Products Inc.,755355008101,500.0,7.14,25.0,3.6,60.71,"GOOD HEALTH, AVOCADO OIL POTATO CHIPS, LIME RANCH"
"Inventure Foods, Inc.",708163115608,500.0,7.14,25.0,3.6,60.71,POTATO CHIPS
"Inventure Foods, Inc.",708163211058,500.0,7.14,25.0,3.6,60.71,KETTLE COOKED POTATO CHIPS
"Inventure Foods, Inc.",708163213052,500.0,7.14,25.0,3.6,60.71,KETTLE COOKED POTATO CHIPS
"Manhattan Food Brands, LLC",028558121237,500.0,7.14,25.0,3.6,60.71,"MICHAEL SEASON'S, THIN & CRISPY RIPPLE POTATO CHIPS"
"Newman's Own, Inc.",757645008501,400.0,6.67,5.0,13.3,73.33,HIGH PROTEIN PRETZELS
"Newman's Own, Inc.",757645008808,367.0,10.0,5.0,13.3,73.33,THIN PRETZELS STICKS
Integrated Global Organics Company LLC,816979010236,500.0,7.14,21.43,3.6,67.86,"GOOD BOY ORGANICS, DRAGANICASAURUS CHEDDAR CHEESE ORGANIC CORN SNACK"
"The Hain Celestial Group, Inc.",024335014204,467.0,6.67,20.0,3.3,60.0,"LITTLE BEAR, CRUNCHITOS BAKED SNACKS, EXTRA CHEDDAR"
"Angie's Artisan Treats, LLC",892773000710,500.0,3.57,28.57,7.1,67.86,"ANGIE'S, SALTED CARAMEL POPCORN"
"The Hain Celestial Group, Inc.",024335304206,467.0,13.33,15.0,3.3,66.67,"BEARITOS, ORGANIC POPCORN"
"The Hain Celestial Group, Inc.",728229014713,500.0,3.57,28.57,7.1,60.71,"TERRA, REAL VEGETABLE CHIPS, SWEETS MEDLEY"
"The Hain Celestial Group, Inc.",728229013150,536.0,7.14,32.14,10.7,53.57,"TERRA, REAL VEGETABLE CHIPS, SWEET & BEET"
Cadia,815369010535,464.0,10.71,25.0,7.1,46.43,"CADIA, VEGGIE CHIPS"
Cadia,815369011792,536.0,7.14,25.0,7.1,67.86,"CADIA, SWEET POTATO TORTILLA CHIPS"
HAVE'A,039675777771,500.0,7.14,25.0,0.0,64.29,CORN CHIPS
"The Hain Celestial Group, Inc.",015839000039,500.0,7.14,25.0,7.1,64.29,"GARDEN OF EATIN', RED HOT BLUES CORN TORTILLA CHIPS, RED HOT BLUE CORN"
"The Hain Celestial Group, Inc.",015839000015,500.0,7.14,25.0,7.1,64.29,"GARDEN OF EATIN', CORN TORTILLA BLUE CHIPS"
"Late July Snacks, LLC",890444000588,464.0,7.14,25.0,7.1,57.14,MULTIGRAIN TORTILLA CHIPS
"Late July Snacks, LLC",890444000571,393.0,7.14,16.07,7.1,60.71,MULTIGRAIN TORTILLA CHIPS
"Late July Snacks, LLC",890444000564,429.0,7.14,16.07,7.1,64.29,ORGANIC MULTIGRAIN TORTILLA CHIPS
"Late July Snacks, LLC",890444000847,464.0,7.14,25.0,7.1,57.14,"LATE JULY SNACKS, SUMMERTIME BLUES MULTIGRAIN TORTILLA CHIPS"
"Late July Snacks, LLC",890444000861,464.0,7.14,21.43,7.1,60.71,MULTIGRAIN TORTILLA CHIPS
"Late July Snacks, LLC",890444000892,429.0,7.14,21.43,7.1,57.14,"LATE JULY SNACKS, MULTIGRAIN TORTILLA CHIPS, RED HOT MOJO"
Jackson's Honest Chips,856823004004,536.0,7.14,32.14,3.6,57.14,"JACKSON'S HONEST, POTATO CHIPS, SEA SALT"
Jackson's Honest Chips,856823004134,536.0,7.14,32.14,3.6,57.14,POTATO CHIPS
Pinnacle Foods Group LLC,033776080105,464.0,10.71,16.07,7.1,67.86,"EARTH BALANCE, VEGAN CHEESE PUFFS, WHITE CHEDDAR"
CADIA,815369011105,464.0,10.71,21.43,10.7,64.29,ORGANIC POPCORN
Westbourne Inc,894942002822,393.0,7.14,10.71,10.7,75.0,479
Westbourne Inc,894942002808,357.0,3.57,14.29,3.6,64.29,479
Westbourne Inc,894942002716,500.0,7.14,25.0,10.7,57.14,479
POPCORNOPOLIS,815196011903,464.0,7.14,21.43,10.7,60.71,CLASSIC SALTED ORGANIC POPCORN
"Beanfields, LLC",852565003077,500.0,17.86,21.43,21.4,64.29,BEAN & RICE CHIPS
"Beanfields, LLC",852565003015,500.0,17.86,21.43,21.4,64.29,BEAN & RICE CHIPS
"Beanfields, LLC",852565003039,500.0,17.86,21.43,21.4,64.29,PICO DE GALLO BEAN & RICE CHIPS
"Beanitos, Inc.",852834002145,464.0,14.29,25.0,14.3,50.0,NACHO CHEESE WHITE BEAN CHIPS
"Beanitos, Inc.",852834002015,464.0,14.29,25.0,14.3,53.57,SIMPLY PINTO BEAN CHIPS
"Beanitos, Inc.",852834002008,464.0,14.29,25.0,14.3,53.57,BLACK BEAN CHIPS
"Boulder Brands USA, Inc.",033776080365,536.0,3.57,39.29,7.1,53.57,KETTLE CHIPS
"Boulder Brands USA, Inc.",033776080372,536.0,7.14,39.29,7.1,53.57,KETTLE CHIPS
DOS CABALLOS,635210000047,79.0,0.71,0.0,0.0,18.57,HEAVY SYRUP
GRACE,055270953112,333.0,7.69,7.69,0.0,56.41,CONDENSED MILK
"Boulder Brands USA, Inc.",033776080358,536.0,7.14,39.29,7.1,50.0,KETTLE CHIPS
"Live Better Brands, LLC",855564003017,464.0,3.57,25.0,7.1,50.0,"WAY BETTER SNACKS, TORTILLA CHIPS, SIMPLY UNBEATABLE BLUES"
Fresh Gourmet Company,787359559211,500.0,7.14,28.57,7.1,53.57,"THE BETTER CHIP, CORN CHIPS"
"Goya Foods, Inc.",041331050784,355.0,9.68,0.0,1.6,80.65,MASAREPA YELLOW CORN MEAL
Fresh Gourmet Company,787359559204,500.0,7.14,28.57,7.1,53.57,"THE BETTER CHIP, JALAPENO CORN CHIPS, JALAPENOS AND SEA SALT"
NATURALLY HOMEGROWN FOODS LTD.,673513011506,500.0,7.14,28.57,3.6,53.57,"HARDBITE, HANDCRAFTED POTATO CHIPS, SMOKIN' BBQ"
"Beanitos, Inc.",812891020025,429.0,21.43,14.29,14.3,64.29,"BEANITOS, REAL CHEESY BEAN PUFF"
Integrated Global Organics Company LLC,816979010052,429.0,7.14,12.5,3.6,75.0,"GOOD BOY ORGANICS, BOPS, BAKED ORGANIC POTATO SNACK, SOUR CREAM & ONION"
"LesserEvil, LLC",180999000516,393.0,14.29,12.5,10.7,67.86,"LESSEREVIL, CHIA CRISPS, BAKED CRUNCHY BLACK BEAN CHIPS, CRUNCHY DILL PICKLE"
HALFPOPS LLC,850091003004,500.0,10.71,21.43,10.7,64.29,POPCORN
Harvest Time Church,609788026631,429.0,17.86,17.86,7.1,53.57,"BANDAR MONKEY FOODS, LENTIL CRISPS, GREEN CHILI GARLIC"
Harvest Time Church,609788026624,464.0,17.86,17.86,7.1,57.14,"BANDAR, LENTIL CRISPS POPPADUMS, ORIGINAL CUMIN"
Piadina Incorporated,851619004039,500.0,7.14,28.57,3.6,53.57,THICK CUT CRISPBEREADS
"Dishaka, LLC",764218651262,500.0,3.57,21.43,3.6,67.86,QUINOA CHIPS
"Dishaka, LLC",764218651255,500.0,7.14,21.43,3.6,64.29,QUINOA CHIPS
Wehah Farm Inc,073416035348,500.0,7.14,25.0,3.6,64.29,"LUNDBERG FAMILY FARMS, RICE CHIPS, FIESTA LIME"
Wehah Farm Inc,073416035331,500.0,7.14,25.0,3.6,64.29,SANTA FE BARBECUE RICE CHIPS
Wehah Farm Inc,073416035300,536.0,7.14,28.57,3.6,64.29,RICE CHIPS
"The Hain Celestial Group, Inc.",015839009926,500.0,7.14,25.0,3.6,60.71,"GARDEN OF EATIN', CORN TORTILLA CHIPS, SWEET POTATO"
Cadia,815369010207,464.0,7.14,16.07,7.1,71.43,"CADIA, ORGANIC YELLOW CORN TORTILLA CHIPS"
Cadia,815369011785,464.0,7.14,21.43,7.1,67.86,"CADIA, ORGANIC RESTAURANT STYLE WHITE CORN TORTILLA CHIPS"
Bare Foods Co.,013971000016,321.0,0.0,0.0,14.3,92.86,"BARE, APPLE CHIPS, GREAT GRANNY, CRUNCHY"
Bare Foods Co.,013971000214,321.0,0.0,0.0,14.3,92.86,"BARE, 100% ORGANIC CRUNCHY APPLE CHIPS, SIMPLY CINNAMON"
SeaSnax Inc.,811201020236,267.0,26.67,13.33,0.0,40.0,"SEASNAX, CHOMPERZ, CRUNCHY SEAWEED CHIPS, JALAPENO"
"Royal Hawaiian Macadamia Nut, Inc.",854171004042,714.0,7.14,75.0,7.1,14.29,"ROYAL HAWAIIAN ORCHARDS, WASABI SOY MACADAMIAS"
SeaSnax Inc.,811201020427,250.0,10.0,15.0,0.0,30.0,"SEASNAX, STIX, CRISPY SEAWEED STRIPS, WASABI"
SeaSnax Inc.,811201020434,300.0,10.0,25.0,10.0,30.0,"SEA SNAX, CRISPY SEAWEED STRIPS, ALMONDS"
"Eden Foods, Inc.",024182000818,606.0,33.33,48.48,15.2,15.15,EDEN ORGANIC SPICY DRY ROASTED PUMPKIN SEEDS
Primal Spirit Inc.,838455000210,289.0,35.71,3.57,3.6,39.29,"PRIMAL, MEATLESS VEGAN JERKY SOY STRIPS, TEXAS BBQ"
Primal Spirit Inc.,838455000197,264.0,35.71,7.14,3.6,28.57,MEATLESS VEGAN JERKY SEITAN
Century Packing Corporation,050313151357,167.0,10.42,12.5,0.0,2.08,"CARMELA, CHICKEN SAUSAGE & BOUILLON, SMOKE"
Iberia Foods Corporation,075669109517,182.0,25.45,7.27,0.0,5.45,JUMBO CALAMARI IN SOYBEAN OIL
"Goya Foods, Inc.",041331049153,464.0,3.57,17.86,3.6,75.0,SWEET PLANTAIN CHIPS
Nutrexpa S.A.,027154305218,444.0,7.41,9.26,0.9,81.48,"CUETARA, MARIA COOKIES"
"Isola Imports, Inc.",780961206009,168.0,2.4,13.6,2.4,7.2,"ISOLA, GOURMET SAUCE, GRILLED EGGPLANT & PORCINI MUSHROOM"
"Don's Chuck Wagon Products, Inc.",070766001450,333.0,10.0,0.0,3.3,70.0,"DON'S CHUCK WAGON, FISH & CHIPS BATTER MIX"
ROUNDY'S,011150175951,357.0,12.5,1.79,3.6,73.21,"ROUNDY'S, NO BOIL LASAGNA PASTA, ENRICHED MACARONI PRODUCT"
ROUNDY'S,011150178006,357.0,12.5,1.79,3.6,73.21,"ROUNDY'S, LASAGNA PASTA, ENRICHED MACARONI PRODUCT"
ROUNDY'S,011150176170,357.0,12.5,1.79,3.6,73.21,"ROUNDY'S, FARFALLE PASTA, ENRICHED MACARONI PRODUCT"
ROUNDY'S,011150176125,357.0,12.5,1.79,3.6,73.21,"ROUNDY'S, MOSTACCIOLI PASTA, ENRICHED MACARONI PRODUCT"
ROUNDY'S,011150175999,357.0,12.5,1.79,3.6,73.21,"ROUNDY'S, ORZO PASTA, ENRICHED MACARONI PRODUCT"
ROUNDY'S,011150175968,357.0,12.5,1.79,3.6,73.21,"ROUNDY'S, LARGE ELBOW, ENRICHED MACARONI PRODUCT"
