b,g,e,p,f,d,c,n
"G. T. Japan, Inc.",019022128593,200.0,2.5,6.25,0.0,35.0,MOCHI ICE CREAM BONBONS
FRESH & EASY,5051379043735,162.0,0.0,0.0,0.0,43.24,CHIPOTLE BARBECUE SAUCE
FRESH & EASY,5051379009434,176.0,0.0,0.0,0.0,41.18,HOT & SPICY BARBECUE SAUCE
FRESH & EASY,5051379019969,143.0,0.0,0.0,0.0,34.29,BARBECUE SAUCE
FRESH & EASY,5051379009526,189.0,0.0,0.0,0.0,45.95,BARBECUE SAUCE
FRESH & EASY,5051379019983,189.0,0.0,0.0,0.0,48.65,ORIGINAL BARBECUE SAUCE
FRESH & EASY,5051379020064,100.0,0.0,0.0,0.0,20.0,STEAK SAUCE
FRESH & EASY,5051379019914,100.0,0.0,0.0,0.0,20.0,"FRESH & EASY, SWEET HOT MUSTARD"
FRESH & EASY,5051379006921,333.0,0.0,33.33,0.0,6.67,LITE MAYONNAISE
FRESH & EASY,5051379006914,714.0,0.0,85.71,0.0,0.0,REAL MAYONNAISE MADE WITH CIDER VINEGAR
McConnell's Ice Cream Inc.,075209824702,230.0,4.42,19.47,12.4,31.86,FINE ICE CREAMS
Stater Bros. Markets Inc.,074175820206,400.0,0.0,0.0,0.0,100.0,"STATER BROS., SUGAR POWDERED"
Stater Bros. Markets Inc.,074175820008,375.0,0.0,0.0,0.0,100.0,"STATER BROS., PURE CANE SUGAR GRANULATED"
Stater Bros. Markets Inc.,074175020705,357.0,12.5,1.79,3.6,75.0,"STATER BROS., ROTINI AN ENRICHED MACARONI PRODUCT"
Stater Bros. Markets Inc.,074175611637,100.0,6.15,0.0,3.8,17.69,"STATER BROS., KIDNEY BEANS, DARK RED"
Target Stores,085239266212,107.0,19.64,1.79,0.0,1.79,SLICED SMOKED TURKEY BREAST
Target Stores,085239266243,143.0,17.86,4.46,0.0,5.36,SLICED HONEY HAM WITH NATURAL JUICES
Target Stores,085239266236,125.0,17.86,4.46,0.0,3.57,SLICED BLACK FOREST HAM
Target Stores,085239266205,179.0,21.43,8.04,0.0,1.79,SLICED BLACK ANGUS ROAST BEEF
Milton G. Waldbaum Company,075925604596,357.0,25.0,28.57,0.0,0.0,MUENSTER CHEESE
Milton G. Waldbaum Company,075925604657,393.0,25.0,32.14,0.0,0.0,SWISS CHEESE
"Columbus Manufacturing, Inc.",073007100301,143.0,23.21,5.36,0.0,1.79,SEASONED ROAST BEEF
"DCI Cheese Company, Inc.",711565011416,393.0,25.0,32.14,0.0,7.14,"GREAT MIDWEST, CRANBERRY CHEDDAR"
"DCI Cheese Company, Inc.",711565011362,393.0,25.0,32.14,0.0,3.57,"GREAT MIDWEST, CHIPOTLE CHEDDAR"
Target Stores,085239233405,250.0,7.14,16.07,7.1,21.43,TRADITIONAL HUMMUS
Target Stores,085239233467,214.0,7.14,14.29,3.6,17.86,SUN-DRIED TOMATO & BASIL HUMMUS
Target Stores,085239233443,214.0,7.14,12.5,7.1,17.86,SPINACH & ARTICHOKE HUMMUS
Target Stores,085239233436,250.0,7.14,14.29,3.6,21.43,ROASTED GARLIC HUMMUS
Target Stores,085239233450,214.0,7.14,14.29,7.1,21.43,SPICY THREE PEPPER HUMMUS
Target Stores,085239233429,214.0,7.14,12.5,7.1,17.86,ROASTED RED PEPPER HUMMUS
Target Stores,085239233498,250.0,7.14,14.29,3.6,21.43,ROASTED GARLIC HUMMUS
Target Stores,085239233481,214.0,7.14,12.5,7.1,17.86,ROASTED RED PEPPER HUMMUS
FRESH & EASY,5051379051839,500.0,0.0,28.57,0.0,57.14,ORGANIC TRI-COLORED TORTILLA STRIPS
FRESH & EASY,5051379049775,169.0,4.62,6.15,1.5,20.0,VANILLA BEAN ICE CREAM
FRESH & EASY,5051379049782,200.0,4.62,7.69,1.5,24.62,LIGHT ICE CREAM
FRESH & EASY,5051379049751,234.0,3.9,11.69,1.3,20.78,ICE CREAM
FRESH & EASY,5051379071332,126.0,0.0,0.0,1.1,33.68,SORBET
FRESH & EASY,5051379071356,105.0,0.0,0.0,0.0,28.42,SORBET
FRESH & EASY,5051379071349,126.0,0.0,0.0,0.0,32.63,BLOOD ORANGE SORBET
FRESH & EASY,5051379071295,179.0,3.16,8.42,0.0,23.16,GELATO
FRESH&EASY,5051379071318,200.0,3.16,10.53,0.0,23.16,"ICE CREAM, GELATO"
FRESH & EASY,5051379071301,200.0,4.21,11.58,0.0,22.11,GELATO
FRESH & EASY,5051379071271,200.0,5.26,9.47,1.1,24.21,GELATO
FRESH & EASY,5051379052416,333.0,12.12,0.0,3.0,72.73,PANKO BREAD CRUMBS JAPANESE STYLE
FRESH & EASY,5051379003319,375.0,10.71,1.79,3.6,75.0,"FRESH & EASY, TRI COLOR ROTINI"
FRESH & EASY,5051379051754,375.0,10.71,1.79,3.6,73.21,"ENRICHED MACARONI PRODUCT, ITALIAN ORZO"
FRESH & TASTY,5051379021184,375.0,10.71,1.79,3.6,73.21,CONCHIGLIE
FRESH & EASY,5051379021160,375.0,10.71,1.79,3.6,73.21,EXCELLENT WITH MUSHROOM SAUCES
FRESH & EASY,5051379024802,375.0,12.5,1.79,3.6,73.21,MACARONI ELBOWS
FRESH & EASY,5051379051761,375.0,12.5,1.79,3.6,73.21,CUT FIDEO
FRESH & EASY,5051379036294,375.0,12.5,1.79,3.6,73.21,THIN SPAGHETTI
FRESH & EASY,5051379024765,375.0,12.5,1.79,3.6,73.21,FETTUCCINE
FRESH & EASY,5051379024772,375.0,12.5,1.79,3.6,73.21,SPAGHETTI
FRESH & EASY,5051379034115,375.0,12.5,1.79,3.6,73.21,SPAGHETTI
FRESH & EASY,5051379036423,375.0,12.5,1.79,3.6,73.21,ROTELLI
FRESH & EASY,5051379041465,357.0,12.5,1.79,7.1,73.21,WHOLE GRAIN PASTA
FRESH & EASY NEIGHBORHOOD MARKET INC.,5051379021139,339.0,7.14,2.68,3.6,73.21,BROWN RICE SPAGHETTI
FRESH & EASY,5051379022266,375.0,12.5,2.68,8.9,73.21,WHOLE WHEAT SPAGHETTI
FRESH&EASY,5051379022259,375.0,12.5,2.68,8.9,73.21,"WHOLE WHEAT ELBOWS, MACARONI"
FRESH & EASY,5051379022273,375.0,12.5,2.68,8.9,73.21,WHOLE WHEAT MACARONI PRODUCT
FRESH&EASY,5051379021122,339.0,7.14,2.68,3.6,73.21,"BROWN RICE, ROTINI"
FRESH & EASY,5051379003296,375.0,12.5,1.79,3.6,73.21,LASAGNA
FRESH & EASY,5051379057435,357.0,12.5,2.68,10.7,73.21,WHOLE GRAIN THIN SPAGHETTI
FRESH & EASY,5051379060336,357.0,12.5,1.79,3.6,73.21,MEDIUM SHELLS
FRESH&EASY,5051379057442,357.0,12.5,2.68,10.7,73.21,WHOLE GRAIN ROTINI
FRESH&EASY,5051379034122,375.0,14.29,1.79,3.6,73.21,"PASTA, EXTRA BROAD RIBBONS"
FRESH&EASY,5051379003326,393.0,14.29,5.36,3.6,71.43,WIDE EGG NOODLES
FRESH & EASY,5051379065218,375.0,12.5,1.79,3.6,73.21,LARGE ELBOWS
FRESH & EASY,5051379050375,400.0,40.0,30.0,0.0,0.0,THREE CHEESE BLEND
FRESH & EASY,5051379006006,400.0,40.0,30.0,0.0,0.0,PARMESAN CHEESE
FRESH & EASY,5051379035174,129.0,3.23,11.29,0.0,4.84,ALFREDO SAUCE
FRESH & EASY,5051379037123,40.0,0.88,0.88,1.8,7.96,MARINARA SAUCE WITH ROASTED RED PEPPERS
FRESH & EASY,5051379008444,53.0,1.77,1.33,2.7,8.85,TOMATO BASIL MARINARA
FRESH & EASY,5051379008468,44.0,0.88,1.33,1.8,7.96,PASTA SAUCE
FRESH & EASY,5051379041472,35.0,0.88,1.33,0.9,6.19,PASTA SAUCE
FRESH & EASY,5051379008536,53.0,1.77,1.33,1.8,8.85,PIZZA SAUCE
FRESH & EASY,5051379026462,30.0,0.86,0.0,0.9,5.17,"DICED TOMATOES, WITH GARLIC & OLIVE OIL"
FRESH & EASY ORGANIC,5051379006211,21.0,0.0,0.0,0.8,4.17,DICED TOMATOES
FRESH & EASY,5051379009014,21.0,0.83,0.0,0.8,3.31,DICED TOMATOES
FRESH & EASY,5051379006242,28.0,0.81,0.0,1.6,5.69,STEWED TOMATOES
FRESH & EASY,5051379028497,28.0,0.81,0.0,1.6,5.69,ITALIAN-STYLE STEWED TOMATOES
FRESH & EASY,5051379039967,58.0,1.67,3.33,1.7,5.0,"FRESH & EASY, PROVENCAL SIMMER SAUCE"
FRESH & EASY,5051379040017,33.0,1.67,1.25,1.7,5.0,"FRESH & EASY, CACCIATORE SIMMER SAUCE"
FRESH & EASY,5051379036348,151.0,2.38,12.7,0.8,7.94,"FRESH & EASY, CREAMY TOMATO ALFREDO SAUCE"
FRESH & EASY,5051379008499,88.0,1.77,6.19,1.8,7.96,"FRESH & EASY, PASTA SAUCE WITH IMPORTED TOMATOES & OLIVE OIL"
FRESH & EASY,5071370008595,106.0,1.77,7.96,1.8,7.08,"FRESH & EASY, PASTA SAUCE WITH IMPORTED ITALIAN TOMATOES & OLIVE OIL"
FRESH & EASY,5051379051846,40.0,0.88,1.33,0.9,6.19,PASTA SAUCE
FRESH & EASY,5051379006259,106.0,6.06,0.0,3.0,18.18,"FRESH & EASY, TOMATO PASTE"
FRESH & EASY,5051379006228,24.0,0.0,0.0,1.6,4.76,TOMATO SAUCE
FRESH & EASY,5051379043841,33.0,1.67,0.0,1.7,6.67,TOMATO SAUCE
FRESH & EASY,5051379009021,33.0,1.67,0.0,1.7,6.67,TOMATO SAUCE
FRESH & EASY,5051379009045,33.0,1.64,0.0,1.6,6.56,CRUSHED TOMATOES WITH BASIL
FRESH & EASY,5051379043858,21.0,0.83,0.0,0.8,3.31,WHOLE PEELED PLUM TOMATOES
JALANCINA NATURE S.L.,8411187252595,86.0,0.71,0.0,0.7,21.43,PEARS HALVES IN DILUTED RED WINE
JALANCINA NATURE S.L.,8411187415150,200.0,0.0,0.0,0.0,53.33,MERMELADA DE MORA CON CAFE
TALANCINA,8411187433154,86.0,0.71,0.0,0.7,21.43,TALANCINA
JALANCINA NATURE S.L.,8411187410124,200.0,0.0,0.0,0.0,46.67,LOQUAT JAM
JALANVINA,8411187410025,200.0,0.0,0.0,0.0,53.33,APRICOT JAM
JALANCINA NATURE S.L.,8411187412029,200.0,0.0,0.0,0.0,53.33,YELLOW PEPPER JAM
TALANCINA,8411187412012,167.0,0.0,0.0,0.0,40.0,RED PEPPER JAM
Brix Chocolate,895832002045,536.0,7.14,35.71,3.6,53.57,MILK CHOCOLATE
FRESH & EASY,5051379054489,307.0,3.51,14.91,1.8,36.84,APPLE BLOSSOMS
FRESH & EASY,5051379032388,212.0,10.59,5.88,1.2,29.41,"FRESH & EASY, BREADED CALAMARI RINGS"
FRESH & EASY,5051379047337,271.0,5.71,10.0,1.4,37.14,"FRESH & EASY, HOMESTYLE WAFFLES"
FRESH & EASY,5051379047368,231.0,5.13,5.13,0.9,40.17,"FRESH & EASY, BUTTERMILK PANCAKES"
FRESH & EASY,5051379036058,350.0,11.67,1.67,1.7,71.67,MUSHROOM GARLIC CAVATAPPI
FRESH & EASY,5051379036065,400.0,18.0,10.0,2.0,58.0,CREAMY CARBONARA SPAGHETTI
FRESH & EASY,5051379036072,333.0,11.76,9.8,2.0,48.04,DELUXE SHELLS & AGED CHEDDAR CHEESE SAUCE
FRESH & EASY,5051379041458,357.0,12.86,2.86,5.7,71.43,GOODNESS ANIMAL SHAPES
FRESH & EASY,5051379010300,380.0,15.49,4.93,2.8,64.79,SHELLS & WHITE CHEDDAR CHEESE
FRESH & EASY,5051379028947,349.0,9.3,0.0,2.3,74.42,RICE PILAF WITH ORZO
FRESH & EASY,5051379028916,349.0,11.63,4.65,2.3,67.44,THREE-CHEESE RISOTTO
FRESH & EASY,5051379035969,178.0,3.95,3.95,2.0,32.24,QUINOA & BROWN RICE WITH GARLIC & HERBS
FRESH & EASY,5051379035976,139.0,3.47,2.43,1.4,26.39,RICE
FRESH & EASY,5051379006099,162.0,3.81,1.43,1.9,34.29,COOKED BROWN RICE
FRESH & EASY,5051379021962,143.0,2.86,0.0,0.0,31.43,COOKED WHITE RICE
FRESH&EASY,5051379051709,364.0,9.09,0.0,2.3,81.82,INSTANT WHITE RICE
FRESH & EASY,5051379021955,349.0,9.3,2.33,4.7,76.74,INSTANT BROWN RICE
FRESH & EASY,5051379005887,349.0,9.3,2.33,4.7,76.74,BOIL-IN-BAG BROWN RICE
FRESH & EASY,5051379005870,352.0,7.41,0.0,0.0,79.63,BOIL - IN - BAG WHITE RICE
C & F Foods Inc.,072769004209,356.0,8.89,3.33,2.2,75.56,BLACK RICE
Omni Rajhas Merchandising,64751542,354.0,25.0,1.04,31.2,60.42,FRENCH LENTILS
C & F Foods Inc.,072769004230,339.0,12.5,1.79,3.6,73.21,COUSCOUS
FRESH & EASY,5051379025649,349.0,13.95,2.33,4.7,74.42,"FRESH & EASY, COUSCOUS"
FRESH & EASY,5051379025663,340.0,12.0,1.0,18.0,76.0,"FRESH & EASY, BULGAR WHEAT"
FRESH & EASY,5051379025564,333.0,24.44,1.11,11.1,60.0,"FRESH & EASY, BLACK-EYED PEAS"
FRESH & EASY,5051379025519,340.0,22.0,0.0,24.0,64.0,BLACK BEANS
FRESH & EASY,5051379060206,340.0,22.0,0.0,24.0,64.0,BLACK BEANS
Naked Juice,08273914,360.0,26.0,1.0,30.0,60.0,"FRESH & EASY, GREEN LENTILS"
FRESH & EASY,5051379025489,360.0,26.0,1.0,30.0,60.0,"FRESH & EASY, RED LENTILS"
FRESH & EASY,5051379025533,333.0,22.22,0.0,15.6,62.22,"FRESH & EASY, LIGHT RED KIDNEY BEANS"
FRESH & EASY,5051379025571,360.0,20.0,6.0,18.0,60.0,"FRESH & EASY, GARBANZO BEANS"
FRESH & EASY,5051379025588,356.0,8.89,1.11,20.0,73.33,"FRESH & EASY, MAYOCOBA BEANS"
FRESH & EASY,5051379025526,333.0,22.22,1.11,20.0,62.22,"FRESH & EASY, BEANS"
FRESH & EASY,5051379025540,333.0,23.53,0.98,5.9,58.82,"FRESH & EASY, SMALL RED BEANS"
FRESH & EASY,5051379025502,347.0,24.49,1.02,24.5,61.22,"FRESH & EASY, GREEN SPLIT PEAS"
FRESH & EASY,5051379025595,341.0,20.45,1.14,15.9,63.64,"FRESH & EASY, PINTO BEANS"
FRESH & EASY,5051379025601,341.0,20.45,1.14,15.9,63.64,"FRESH & EASY, BEANS"
FRESH & EASY,5051379025700,356.0,6.67,0.0,2.2,80.0,"FRESH & EASY, JASMINE BROWN"
FRESH & EASY,5051379025694,378.0,8.89,3.33,4.4,77.78,"FRESH & EASY, LONG GRAIN BROWN"
FRESH & EASY,5051379025687,333.0,6.67,0.0,2.2,75.56,"FRESH & EASY, BASMATI RICE"
FRESH & EASY,5051379025632,356.0,6.67,0.0,2.2,80.0,RICE
FRESH & EASY,5051379025625,333.0,6.67,0.0,2.2,80.0,ITALIAN GROWN RICE
FRESH & EASY,5051379028022,367.0,10.0,2.5,6.7,76.67,RICE MEDLEY
FRESH & EASY,5051379025717,356.0,6.67,0.0,2.2,80.0,LONG GRAIN WHITE RICE
The MacKnight Food Group,830859001787,156.0,22.32,7.14,0.0,0.0,ATLANTIC SALMON BURGERS
FRESH & EASY,5051379071097,98.0,13.39,1.79,0.0,0.0,"FRESH & EASY, SWAI FELLETS"
FRESH & EASY,5051379029029,80.0,18.75,0.89,0.0,0.0,"FRESH & EASY, MAHI MAHI FILLETS"
FRESH & EASY,5051379029050,179.0,20.54,10.71,0.0,0.0,"FRESH & EASY, SALMON"
FRESH & EASY,5051379029043,89.0,17.86,0.89,0.0,0.0,"FRESH & EASY, TILAPIA"
FRESH & EASY,5051379071073,80.0,16.96,0.89,0.0,0.0,"FRESH & EASY, ALASKAN POLLOCK FILLETS"
Jagpreet Enterprises,767226009506,212.0,10.26,7.69,1.3,24.36,HANDCRAFTED NAAN FLATBREAD SANDWICH
Target Stores,085239311769,357.0,32.14,25.0,3.6,3.57,SHAVED PARMESAN CHEESE
Target Stores,085239441213,421.0,2.63,15.79,0.0,68.42,FROSTED SUGAR COOKIES
Target Stores,085239441220,433.0,3.33,15.0,0.0,70.0,WHITE FROSTED MINI SUGAR COOKIES
Target Stores,085239416105,475.0,5.0,22.5,2.5,67.5,CHOCOLATY DIPPED GRAHAM CRACKERS
"Ferrero U.S.A., Incorporated",009800200252,600.0,7.5,42.5,5.0,47.5,"FERRERO COLLECTION, FINE ASSORTED CONFECTIONS"
The Kroger Co.,011110015938,417.0,5.56,13.89,2.8,66.67,"KROGER, CHIPMATES, COOKIES, CHOCOLATE CHIPS"
The Kroger Co.,011110015921,429.0,3.57,21.43,0.0,57.14,CHOCOLATE CHIP COOKIES
The Kroger Co.,011110792907,308.0,7.69,9.62,3.8,50.0,"KROGER, COWPALS, CHEESE DIP & PRETZEL STICKS"
The Kroger Co.,011110857934,117.0,1.67,8.33,1.7,10.0,TIKKA MASALA
Pioneer Flour Mills,041460386105,357.0,14.29,7.14,0.0,57.14,ITALIAN MEATLOAF MIX
The Kroger Co.,011110850119,146.0,10.42,9.38,0.0,4.17,REDUCED FAT VIENNA SAUSAGE
The Kroger Co.,011110849991,208.0,12.5,16.67,0.0,2.08,CHICKEN VIENNA SAUSAGE IN CHICKEN BROTH
"Neuman Bakery Specialties, Inc",073668543370,357.0,3.57,14.29,0.0,53.57,"NEUMAN'S, CARROT PINEAPPLE BREAD, CARROT, PINEAPPLE"
The Kroger Co.,011110784902,571.0,0.0,57.14,0.0,21.43,SWEET FINISHING BUTTER
Spaans Cookie Company Inc.,038749818563,423.0,7.04,21.13,10.6,63.38,"SPAANS, SUGAR FREE SPICED WINDMILL COOKIES"
"Hill & Valley, Inc.",014821103901,297.0,4.69,12.5,1.6,42.19,CINNAMON SWIRL SLICED CREME CAKE
The Kroger Co.,011110268266,420.0,6.0,26.0,2.0,46.0,MINI MUFFINS
"Lone Star Consolidated Foods, Inc.",030291054567,345.0,5.45,16.36,1.8,45.45,"APPLE, CHERRY AND CHEESE ROLL"
"Lone Star Consolidated Foods, Inc.",030291054574,382.0,5.45,18.18,1.8,50.91,"CHEESE, CHERRY AND PINEAPPLE ROLE"
"Schnuck Markets, Inc.",041318221305,359.0,0.0,5.13,0.0,76.92,LAFFY TAFFY
Baxters Canada Inc.,061202003497,35.0,0.77,0.77,0.4,6.54,SOUP
Baxters of Speyside Ltd.,074691051016,69.0,2.45,4.08,0.4,5.31,LOBSTER BISQUE
The Letter Company,00870023,188.0,12.35,9.41,0.6,15.29,SOUTHWEST CHICKEN QUESADILLAS WITH SEASONED VEGETABLES
"Schnuck Markets, Inc.",041318300277,378.0,11.11,2.22,13.3,75.56,"CULINARIA, KAMUT BLEND RICE MIX"
"The Glass Baron, Inc.",00859097,382.0,7.27,5.45,9.1,80.0,LOWFAT GRANOLA CEREAL WITH ALMOND
The Kroger Co.,011110826558,48.0,0.0,0.0,0.8,11.29,LITE FRUIT COCKTAIL IN PEAR JUICE FROM CONCENTRATE
The Kroger Co.,011110801272,357.0,12.5,1.79,3.6,75.0,ENRICHED ELBOW MACARONI
The Kroger Co.,011110790453,464.0,7.14,21.43,7.1,60.71,ORGANIC YELLOW CORN TORTILLA CHIPS
"CSM Bakery Products NA, Inc.",035074401897,375.0,5.0,12.5,2.5,65.0,PLAIN BROWNIE BITES
"CSM Bakery Products NA, Inc.",035074401903,359.0,2.56,11.54,2.6,64.1,POWDERED SUGAR BROWNIE BITES
"CSM Bakery Products NA, Inc.",035074506202,378.0,4.44,20.0,1.1,46.67,SLICED LOAF CAKE
Integrated Global Organics Company LLC,816979010045,429.0,7.14,12.5,3.6,75.0,BAKED ORGANIC POTATO SNACK
"Organicgirl, LLC",895203001318,24.0,2.35,0.0,2.4,3.53,SUPER GREENS!
"Organicgirl, LLC",895203001394,18.0,2.35,0.0,1.2,3.53,SALAD
"Delitia, Inc.",809286656129,786.0,0.0,85.71,0.0,0.0,"DELITA, IMPORTED ITALIAN BUTTER OF PHARMA"
Straus Family Creamery,784830000507,786.0,0.0,85.71,0.0,0.0,ORGANIC EUROPEAN STYLE GRADE AA BUTTER
Norstar Specialty Foods Inc.,630271829699,133.0,3.33,10.0,0.0,6.67,TZATZIKI SAUCE
Conifer Specialties Inc.,054467000219,324.0,18.92,1.35,16.2,62.16,CHICKEN CHILI ARTISAN SOUP MIX
Conifer Specialties Inc.,054467003531,348.0,8.7,0.0,4.3,78.26,"CANTERBURY NATURALS, CHICKEN NOODLE SOUP MIX"
Conifer Specialties Inc.,054467003937,333.0,7.41,0.0,3.7,74.07,ROASTED GARLIC POTATO CORN CHOWDER
Conifer Specialties Inc.,054467015404,324.0,5.88,1.47,5.9,76.47,"CANTERBURY NATURALS, RUSTIC FIRESIDE TORTILLA"
"Hope Foods, LLC",856500004020,179.0,3.57,10.71,3.6,14.29,"HOPE HUMMUS, SWEET POTATO HUMMUS"
"The Hain Celestial Group, Inc.",035742224056,42.0,2.08,0.0,2.5,9.58,5 BEAN VEGETABLE SOUP
"The Hain Celestial Group, Inc.",035742224032,38.0,1.25,0.21,1.7,8.33,VEGETABLE BARLEY SOUP
"The Hain Celestial Group, Inc.",790555011513,60.0,2.4,0.2,2.0,11.6,LENTIL APPLE SOUP
WWF Operating Company,025293001916,100.0,4.0,2.0,1.3,16.67,DAIRY-FREE FRUITY & CREAMY BLENDED
Frontier Cooperative Herbs,089836185457,333.0,16.67,0.0,0.0,66.67,GRAVY MIX
"The Hain Celestial Group, Inc.",023254633954,286.0,14.29,0.0,0.0,71.43,FAT FREE VEGETARIAN GRAVY MIX
"The Hain Celestial Group, Inc.",035742221109,4.0,1.25,0.0,0.0,0.0,BROTH
"Pacific Foods of Oregon, Inc.",052603054652,86.0,1.22,1.63,1.2,16.33,ORGANIC CHIPOTLE SWEET POTATO SOUP
"Pacific Foods of Oregon, Inc.",052603054751,56.0,2.4,2.4,0.4,6.4,ORGANIC CHICKEN SPINACH PEENE SOUP
Rumiano Cheese Co.,811355002560,393.0,25.0,32.14,0.0,3.57,ORGANIC CHEESE
"Post Foods, LLC",041653012293,382.0,8.82,0.0,2.9,88.24,CORN FLAKES
"Post Foods, LLC",041653012118,375.0,6.25,1.56,3.1,87.5,"EREWHON, STRAWBERRY CRISP"
"Post Foods, LLC",041653012101,400.0,6.67,1.67,3.3,90.0,"ATTUNEFOODS, EREWHON, HONEY CRISPY BROWN RICE MIXED BERRIES"
"The Hain Celestial Group, Inc.",051651092197,562.0,25.0,46.88,6.2,18.75,"MARANATHA, ROASTED PEANUT BUTTER"
"The Hain Celestial Group, Inc.",051651092326,562.0,25.0,46.88,6.2,18.75,"MARANATHA, ORGANIC PEANUT BUTTER"
"The Hain Celestial Group, Inc.",051651092203,562.0,25.0,46.88,6.2,18.75,"MARANATHA, ORGANIC ROASTED PEANUT BUTTER CRUNCHY"
"United Natural Foods, Inc.",042563012816,625.0,25.0,50.0,9.4,18.75,"WOODSTOCK, PEANUT BUTTER"
"United Natural Foods, Inc.",042563012847,625.0,25.0,50.0,9.4,18.75,PEANUT BUTTER
"Organic Food Products, Inc.",748239105140,48.0,1.6,0.8,1.6,8.0,OLIVE OIL & GARLIC PASTA SAUCE
"Attune Foods, LLC",075070106655,382.0,12.73,5.45,10.9,76.36,LOW FAT MUESLI
"United Natural Foods, Inc.",814985000326,200.0,0.0,0.0,5.0,50.0,WILD BERRY ORGANIC PRESERVES
"Attune Foods, LLC",075070104521,436.0,9.09,10.91,5.5,76.36,VANILLA ALMOND NATURALLY FLAVORED CLUSTERS & FLAKES
"Eden Foods, Inc.",024182001150,56.0,1.6,2.0,1.6,8.0,SPAGHETTI SAUCE
"Ce De Candy, Inc.",011206000930,333.0,22.22,11.11,11.1,44.44,DELICIOUS GOLDEN VEGETABLE SOUP
SKIP'S DIP,744335611400,32.0,0.0,2.32,0.9,3.57,ROASTED SALSA
NATURE'S PATH,058449777007,364.0,16.36,5.45,16.4,69.09,ORGANIC OPTIMUM POWER BLUEBERRY CINNAMON FLAX
"The Hain Celestial Group, Inc.",087336633027,357.0,12.5,0.89,5.4,75.0,"DE BOLES, SPAGHETTI STYLE PASTA"
JOVIAL,815421011111,351.0,14.04,2.63,8.8,70.18,100% ORGANIC EINKORN WHOLE WHEAT PASTA LINGUINE
JOVIAL,815421012125,464.0,10.71,17.86,3.6,64.29,ORGANIC EINKORN COOKIES
JOVIAL,815421012132,464.0,10.71,16.07,3.6,64.29,ORGANIC EINKORN COOKIES
Cougar Mountain Baking Company,096343856725,400.0,5.71,14.29,2.9,62.86,"COUGAR MOUNTAIN, BLUEBERRIES & OATS, ALL NATURAL SOFT COOKIES"
"Tasty Brand, Inc.",897261001637,435.0,4.35,17.39,0.0,60.87,"TASTY, CHOCOLATE CHIP COOKIES"
JOVIAL,815421012019,485.0,6.06,24.24,3.0,60.61,ORGANIC CHOCOLATE COOKIES
"Post Foods, LLC",075940390009,419.0,6.45,8.06,3.2,77.42,"EREWHON, ORGANIC CINNAMON GRAHAMS, HONEY"
"Redwood Hill Farm & Creamery, LLC",081312101784,59.0,4.12,2.65,0.0,4.12,GOAT MILK YOGURT
"Organic Food Products, Inc.",748239105225,48.0,1.6,0.8,0.8,8.8,ROASTED GARLIC PASTA SAUCE
"Organic Food Products, Inc.",748239105041,40.0,1.6,0.8,0.8,8.0,"WALNUT ACRES, PORTABELLO MARINARA PASTA SAUCE"
"Organic Food Products, Inc.",748239105034,40.0,1.6,0.8,0.8,7.2,"WALNUT ACRES, PASTA SAUCE, TOMATO & BASIL"
Springfield Creamery Inc.,043192103104,53.0,5.33,0.0,0.0,7.56,"NANCY'S, NONFAT YOGURT"
Springfield Creamery Inc.,043192100110,66.0,4.87,1.33,0.0,7.08,"NANCY'S, LOWFAT YOGURT"
Springfield Creamery Inc.,043192101056,62.0,4.87,1.33,0.0,7.08,LOWFAT YOGURT
"Pulmuone Foods USA, Inc.",052334116650,33.0,0.0,0.0,0.0,6.67,SALSA
Deep Foods Inc.,011433119696,200.0,8.57,2.86,1.9,35.24,"TANDOOR CHEF, ORIGINAL NAAN PIZZA"
"Soy Vay Enterprises, Inc.",088177921595,233.0,0.0,6.67,0.0,40.0,TERIYAKI
EDEN ORGANIC,024182011197,33.0,1.67,0.0,1.7,5.0,"EDEN ORGANIC, CRUSHED TOMATOES, SWEET BASIL"
"The Hain Celestial Group, Inc.",023923206335,250.0,10.71,16.07,0.0,17.86,POPCORN CHICKEN
SUNSHINE BURGERS,794213000338,307.0,12.0,17.33,9.3,28.0,FALAFEL 3 ORGANIC VEGGIE BURGERS
WWF Operating Company,795709030099,76.0,4.12,0.0,0.0,14.71,ORGANIC NONFAT YOGURT
WWF Operating Company,795709040029,53.0,4.89,0.0,0.0,7.11,PLAIN YOGURT
WWF Operating Company,795709040012,80.0,4.0,0.0,0.0,15.56,VANILLA BEAN CREAMY AUSTRALIAN STYLE NONFAT YOGURT
Charles Jacquin Et Cie Inc.,084380961540,286.0,0.0,0.0,0.0,71.43,STRAWBERRY SAUCE
Sky Valley Foods Inc.,896859000540,50.0,0.0,0.0,0.0,10.0,ORGANIC SALSA MADE WITH AGAVE NECTAR
"Nasoya Foods USA, LLC",025484000117,71.0,8.24,3.53,1.2,2.35,ORGANIC SOFT TOFU
American Importing Co. Inc.,071725713032,667.0,16.67,66.67,6.7,13.33,WALNUT HALVES & PIECES
American Importing Co. Inc.,071725711809,633.0,10.0,60.0,3.3,20.0,PINE NUTS
The Kroger Co.,011110741912,304.0,6.52,0.0,2.2,67.39,ANGEL FOOD CAKE
Aldi-Benner Company,041498134181,333.0,5.56,12.96,1.9,50.0,"BREAKFAST BEST, BREAKFAST STRUDEL, STRAWBERRY"
